GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS,COMMENTS,,,,,,,
MAM,,1,5,,,,,481248,Y,,2017-11-03 09:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,5,,,,,481249,Y,,2017-11-03 09:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,5,,,,,481250,Y,,2017-11-03 09:20,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,5,,,,,481251,Y,,2017-11-03 09:30,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,5,,,,,481253,Y,,2017-11-03 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,5,,,,,481254,Y,,2017-11-03 10:20,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,5,,,,,481255,Y,,2017-11-03 10:35,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,5,,,,,481256,Y,,2017-11-03 10:45,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,5,,,,,481257,Y,,2017-11-03 10:55,Eastern,,,ELOMA,No,,,,,,,,
TNT,23-TNT,1,1,,,,,126990,Y,,2017-11-07 14:55,Eastern,,,ELOMA,No,,,,,,,,
EAB,W14-EB9,9,1,,,,,126965,Y,,2017-11-07 10:55,Eastern,,,ELOMA,No,,,,,,,,
ASG,W18-ASG1,1,1,,,,,126957,Y,,2017-11-07 11:10,Eastern,,,ELOMA,No,,,,,,,,
FDI,W5-FDI,1,1,,,,,126958,Y,,2017-10-23 11:25,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,1,,,,,126969,Y,,2017-10-23 11:40,Eastern,,,ELOMA,No,,,,,,,,
LPT,W2-LPT,1,1,,,,,126970,Y,,2017-11-07 11:55,Eastern,,,ELOMA,No,,,,,,,,
EAB,W8-EB3,3,1,,,,,126972,Y,,2017-10-26 12:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,1,,,,,126974,Y,,2017-11-07 12:25,Eastern,,,ELOMA,No,,,,,,,,
GRI,W4-GRI2,2,1,,,,,126976,Y,,2017-10-23 12:40,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,1,,,,,126978,Y,,2017-11-07 12:55,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,1,,,,,126979,Y,,2017-11-07 13:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W17-EB12,12,1,,,,,126980,Y,,2017-11-07 13:25,Eastern,,,ELOMA,No,,,,,,,,
EAB,W10-EB5,5,1,,,,,126982,Y,,2017-11-07 13:40,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,1,,,,,126983,Y,,2017-11-07 13:55,Eastern,,,ELOMA,No,,,,,,,,
EAB,W7-EB2,2,1,,,,,126984,Y,,2017-10-26 14:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W12-EB7,7,1,,,,,126985,Y,,2017-10-26 14:25,Eastern,,,ELOMA,No,,,,,,,,
EAB,W13-EB8,8,1,,,,,126986,Y,,2017-11-07 14:40,Eastern,,,ELOMA,No,,,,,,,,
GRI,W3-GRI1,1,1,,,,,126994,Y,,2017-10-23 15:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W9-EB4,4,1,,,,,126995,Y,,2017-10-26 15:25,Eastern,,,ELOMA,No,,,,,,,,
FPT,W1-FPT,1,1,,,,,126997,Y,,2017-10-23 15:40,Eastern,,,ELOMA,No,,,,,,,,
EAB,W11-EB6,6,1,,,,,126998,Y,,2017-10-26 15:55,Eastern,,,ELOMA,No,,,,,,,,
NPR,,3,1,,,,,126977,Y,,2018-05-28 00:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,6,,,,,126988,Y,,2018-05-28 10:45,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,6,,,,,126968,Y,,2018-05-28 11:15,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,6,,,,,126981,Y,,2018-05-28 11:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,6,,,,,126963,Y,,2018-05-28 23:50,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,6,,,,,126989,Y,,2018-05-28 12:35,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,6,,,,,126975,Y,,2018-05-28 13:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W12-EB7,7,2,,,,,126996,Y,,2018-05-29 11:05,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,2,,,,,481250,Y,,2018-05-29 11:45,Eastern,,,ELOMA,No,,,,,,,,
EAB,W13-EB8,8,2,,,,,481254,Y,,2018-05-29 12:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W14-EB9,9,2,,,,,481256,Y,,2018-05-29 13:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,2,,,,,481257,Y,,2018-05-29 13:25,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,2,,,,,481255,Y,,2018-05-29 14:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,2,,,,,481251,Y,,2018-05-29 14:15,Eastern,,,ELOMA,No,,,,,,,,
EAB,W7-EB2,2,2,,,,,481189,Y,,2018-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W11-EB6,6,2,,,,,126987,Y,,2018-05-30 10:13,Eastern,,,ELOMA,No,,,,,,,,
EAB,W10-EB5,5,2,,,,,481248,Y,,2018-05-30 11:14,Eastern,,,ELOMA,No,,,,,,,,
EAB,W9-EB4,4,2,,,,,481186,Y,,2018-05-30 11:58,Eastern,,,ELOMA,No,,,,,,,,
EAB,W8-EB3,3,2,,,,,481185,Y,,2018-05-30 13:05,Eastern,,,ELOMA,No,,,,,,,,
FDI,W5-FDI,1,2,,,,,126961,Y,,2018-05-30 13:35,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,2,,,,,126962,Y,,2018-05-30 13:57,Eastern,,,ELOMA,No,,,,,,,,
TNT,,1,2,,,,,126986,Y,,2018-05-31 11:32,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,7,,,,,481249,Y,,2018-05-31 10:25,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,5,,,,,126995,Y,,2018-05-31 10:58,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,6,,,,,126964,Y,,2018-05-31 11:11,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,6,,,,,126992,Y,,2018-06-01 09:50,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,6,,,,,481190,Y,,2018-06-01 10:30,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,6,,,,,126984,Y,,2018-06-01 10:55,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,6,,,,,126985,Y,,2018-06-01 11:10,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,6,,,,,131934,Y,,2018-06-01 11:40,Eastern,,,ELOMA,No,,,,,,,,
